Location,Size,Price (CZK),Link,Total price,Order ID,Update,Building,Property status,Ownership,Property location,Floor,Usable area,Floorage,Balcony,Move-in date,Water,Heating,Gas,Electricity,Transportation,Energy Performance Rating,Energy Performance Certificate,Loft,Furnished,Elevator,Flat type,Terrace,Cellar,Parking,Energy Performance Indicator,Price,Garden area,Cost of living,Garage,Barrier-free access,Loggia,Reconstruction year,Waste,Telecommunications,Annuity,Acquisition of title,Final building approval year,Road,Built-up area,Construction completion date,Note on the price,ID,Discounted,Original cost,Sales commencement date,Visit site date,Visit site date to,Basin area,Basin,Status,Ceiling height,Share size,Number of owners,Starting price,Expert judgement,Minimum Bid,Auction principal,Type of auction,Venue auction,Auction sale date,1st site visit date,2nd site visit date,Advertisement of auction,Number of flats,Share size of common area
"Hlučkova, Praha 9 - Letňany",For sale apartment 2+kt 48 m²,7700000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-letnany-hluckova/2482689356,7 700 000 CZK per property,N1021,Yesterday,Brick,New homes,Personal,Quiet part of municipality,1. floor of total 4 including 2 underground,48 m2,48 m2,,Immediately,Water supply,Central district heating,,230 V,"Road, Urban public transportation, Bus",Class G,,,Partially,,,41 m2,4 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zakšínská, Praha 9 - Střížkov",For sale apartment 3+kt 98 m²,11899000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-strizkov-zaksinska/4054574412,11 899 000 CZK per property (k jednání),N1013,Yesterday,Brick,New homes,Personal,Quiet part of municipality,6. floor of total 7 including 1 underground,98 m2,103 m2,,Immediately,Water supply,Central district heating,,,"Highway, Road, Urban public transportation, Bus",Class G,,,,,,,6 m2,,,,,,,,4 m2,,,"Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hlučkova, Praha 9 - Letňany",For sale apartment 2+kt 45 m²,7700000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-letnany-hluckova/2918896972,7 700 000 CZK per property,N1022,Yesterday,Brick,New homes,Personal,Quiet part of municipality,1. floor of total 4 including 2 underground,45 m2,45 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class G,,,Partially,,,42 m2,3 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Musílkova, Praha 5 - Košíře",For sale apartment 3+kt 106 m² (Attic),11490000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-kosire-musilkova/734487884,11 490 000 CZK per property (k jednání),N1062,Yesterday,Brick,In very good condition,Personal,Busy part of municipality,6. floor of total 6 including 1 underground,106 m2,100 m2,6 m2,Immediately,Water supply,Local gas,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class E Coll. 78/2013 complying with,Open Energy Performance Certificate,,Partially,,Attic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kováříkova, Praha 5 - Hlubočepy",For sale apartment 3+kt 71 m²,12990000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-hlubocepy-kovarikova/4141741388,12 990 000 CZK per property,N1005,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,1. floor of total 5 including 1 underground,71 m2,71 m2,,Immediately,,,,,,Class C Coll. 78/2013 complying with,,,Partially,,,,,,,,140 m2,,,,,,,,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lounských, Praha 4 - Nusle",For sale apartment 4+kt 91 m²,12550000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-nusle-lounskych/1948160588,12 550 000 CZK per property (k jednání),N1092,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,4. floor of total 4 including 1 underground,91 m2,91 m2,4 m2,Immediately,,"Local gas, Underfloor",,230 V,Urban public transportation,Class G,,,Partially,,,,12 m2,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Děčínská, Praha 8 - Střížkov",For sale apartment 1+kt 25 m²,3650000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-strizkov-decinska/1769050700,3 650 000 CZK per property,N1093,Yesterday,Panel,In very good condition,Personal,Quiet part of municipality,15. floor of total 17,25 m2,25 m2,,Immediately,Water supply,Central district heating,,230 V,"Highway, Road, Urban public transportation, Bus",Class G,,,Partially,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miroslava Hajna, Praha 9 - Letňany",For sale apartment 4+kt 157 m²,14900000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-letnany-miroslava-hajna/3982225996,14 900 000 CZK per property,N1104,Yesterday,Framed structure,In very good condition,Personal,Quiet part of municipality,11. floor of total 11,157 m2,116 m2,5 m2,31.10.2024,Water supply,Central district heating,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class G,,,Partially,,,41 m2,2 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kpt. Stránského, Praha 9 - Černý Most",For sale apartment 2+kt 46 m²,5330000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-cerny-most-kpt--stranskeho/385413708,5 330 000 CZK per property,13539,01.10.2024,Panel,In very good condition,Personal,,4. floor of total 12,46 m2,46 m2,,,Water supply,,,,,Class C Coll. 264/2020 complying with,,,,,,,3 m2,,,,,,,,,,Sewerage,,,,1990,,832 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na Záhonech, Praha 4 - Michle",For sale apartment 1+kt 16 m²,3250000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-michle-na-zahonech/1031123532,3 250 000 CZK per property,0114-NP09555,Yesterday,Brick,In very good condition,Personal,Municipality centre,4. floor of total 4 including 1 underground,16 m2,16 m2,,Immediately,,Local electric,,,"Urban public transportation, Bus",Class E Coll. 264/2020 complying with,Open Energy Performance Certificate,,,,,,2 m2,,309.0 kWh/m^2 /year,,80 m2,,,,,,Sewerage,,,,1945,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uherská, Praha 9 - Vinoř",For sale apartment 4+1 100 m²,7799000,https://www.sreality.cz/en/detail/sale/flat/4+1/praha-vinor-uherska/3151598924,7 799 000 CZK per property,00029,29.09.2024,Panel,In very good condition,Personal,Quiet part of municipality,3. floor of total 3 including 1 underground,100 m2,100 m2,,,Water supply,Central district heating,,230 V,"Train, Highway, Road, Urban public transportation, Bus",Class C Coll. 78/2013 complying with,Open Energy Performance Certificate,,Partially,,,,,,104.0 kWh/m^2 /year,,,,,,6 m2,,Sewerage,"Phone, Internet, Cable TV",,,1995,"Concrete, Paved, Asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Růžová, Praha 1 - Nové Město",For sale apartment 2+kt 47 m²,8950000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-nove-mesto-ruzova/2858157388,8 950 000 CZK per property,36849,Yesterday,Brick,In very good condition,Personal,,4. floor of total 5 including 1 underground,47 m2,,,,,,,,,Class D Coll. 78/2013 complying with,Open Energy Performance Certificate,,,,,,,,288.0 kWh/m^2 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bělomlýnská, Praha - Praha-Čakovice",For sale apartment 2+kt 52 m²,6653920,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-praha-cakovice-belomlynska/547366220,6 653 920 CZK per property,D5.2.03,Yesterday,Framed structure,New homes,Personal,Quiet part of municipality,2. floor of total 3 including 1 underground,52 m2,48 m2,4 m2,,Water supply,Central gas,,"230 V, 400 V","Train, Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,,,,,3 m2,1,50.0 kWh/m^2 /year,,,,,,,,Sewerage,"Internet, Cable TV, Cable distribution",,,2027,"Concrete, Paved, Asphalt",,31.12.2026,,,,,,,,,,,,,,,,,,,,,,,,,
"Italská, Praha 2 - Vinohrady",For sale apartment 2+kt 60 m²,18450000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vinohrady-italska/3841504588,18 450 000 CZK per property,0756,30.09.2024,Mixed,New homes,Personal,,4. floor,60 m2,,,,,,,,"Train, Road, Urban public transportation, Bus",Class G,,,Partially,,,10 m2,3 m2,1,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dlouhá, Praha - Staré Město",For sale apartment 3+kt 110 m² (Mezonet),Information about price at agency,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-stare-mesto-dlouha/291013196,,0915,01.10.2024,Brick,Renovated,Personal,Municipality centre,2. floor,110 m2,,,,,,,,Urban public transportation,Class G,,,,,Mezonet,,,,,Info on price at REA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dělnická, Praha 7 - Holešovice",For sale apartment 3+kt 103 m²,14670000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-holesovice-delnicka/2471461452,14 670 000 CZK per property,240421,Today,Brick,In very good condition,Personal,,6. floor,103 m2,,,,,,,,,Class G,,,,,,5 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U Komína, Praha 5 - Radlice",For sale apartment 2+kt 54 m²,9258000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-radlice-u-komina/788263500,9 258 000 CZK per property (k jednání),B4.4,Yesterday,Brick,New homes,Personal,Quiet part of municipality,4. floor of total 7 including 2 underground,54 m2,,,,,,,,,Class A Coll. 264/2020 complying with,,,,,,,,,35.4 kWh/m^2 /year,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miroslava Hajna, Praha 9 - Letňany",For sale apartment 2+kt 48 m²,6950000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-letnany-miroslava-hajna/4158030412,6 950 000 CZK per property,0059-NP07233,Yesterday,Brick,New homes,Personal,,3. floor of total 8,48 m2,48 m2,7 m2,,,Central district heating,,230 V,,Class B Coll. 78/2013 complying with,,,,,,,5 m2,,68.0 kWh/m^2 /year,,,,1,,,,Sewerage,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pasecká, Praha 9 - Hostavice",For sale apartment 2+kt 44 m²,6499000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-hostavice-pasecka/3891851852,6 499 000 CZK per property,VT227ZK,Yesterday,Mixed,New homes,Personal,Quiet part of municipality,2. floor of total 5 including 2 underground,44 m2,44 m2,,,Water supply,Central gas,Gas pipeline,,"Train, Highway, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,,,,,2 m2,,,,,,,,,,Sewerage,"Phone, Internet, Satellite, Cable TV, Cable distribution",,Yes,2025,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanderova, Praha 7 - Holešovice",For sale apartment 6 rooms plus 267 m²,Information about price at agency,https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-holesovice-sanderova/602096972,,0895,30.09.2024,Brick,New homes,Personal,,1. floor,267 m2,,,Immediately,,,,,"Train, Road, Urban public transportation, Bus",Class G,,,,,,79 m2,,2,,Info on price at REA,31 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zenklova, Praha 8 - Kobylisy",For sale apartment 1+1 40 m²,5200000,https://www.sreality.cz/en/detail/sale/flat/1+1/praha-kobylisy-zenklova/75100748,5 200 000 CZK per property,24092,30.09.2024,Brick,In good condition,Personal,Municipality centre,2. floor,40 m2,40 m2,,Immediately,Water supply,Local gas,Gas pipeline,230 V,"Road, Urban public transportation",Class G Coll. 264/2020 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zenklova, Praha 8 - Libeň",For sale apartment 1+1 41 m²,5200000,https://www.sreality.cz/en/detail/sale/flat/1+1/praha-liben-zenklova/3598316108,5 200 000 CZK per property,24093,30.09.2024,Brick,In good condition,Personal,Municipality centre,2. floor of total 5 including 1 underground,41 m2,41 m2,,Immediately,Water supply,Local gas,Gas pipeline,230 V,,Class G Coll. 264/2020 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pasecká, Praha 9 - Hostavice",For sale apartment 2+kt 53 m²,7350000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-hostavice-pasecka/4109955660,7 350 000 CZK per property,VT226ZK,Yesterday,Mixed,New homes,Personal,Quiet part of municipality,2. floor of total 5 including 2 underground,53 m2,53 m2,,,Water supply,Central gas,Gas pipeline,,"Train, Highway, Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,,,,,2 m2,1,,,,,,,,,Sewerage,"Internet, Satellite, Cable TV, Cable distribution",,,2025,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lanžhotská, Praha 5 - Zličín",For sale apartment 2+kt 66 m²,8890000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-zlicin-lanzhotska/2804609612,8 890 000 CZK per property (k jednání),698,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,1. floor of total 5 including 1 underground,66 m2,,,Immediately,,,,,"Train, Highway, Urban public transportation, Bus",,,,,,,50 m2,,,,,,"5 300,- Kč veškeré poplatky a energie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U Komína, Praha 5 - Radlice",For sale apartment 4+kt 116 m²,21420000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-radlice-u-komina/330044748,21 420 000 CZK per property (k jednání),B7.3,Yesterday,Brick,New homes,Personal,Quiet part of municipality,7. floor of total 7 including 2 underground,116 m2,,,,,,,,,Class A Coll. 264/2020 complying with,,,,,,,,,35.4 kWh/m^2 /year,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobrova, Praha 5 - Smíchov",For sale apartment 2+kt 57 m²,9990000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-smichov-kobrova/4041638476,,,Today,Brick,New homes,Personal,,2. floor,57 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4041638476,8 990 000 CZK per property,9 990 000 CZK,,,,,,,,,,,,,,,,,,,,,
"Za Pohořelcem, Praha - Střešovice",For sale apartment 2+1 57 m²,5850000,https://www.sreality.cz/en/detail/sale/flat/2+1/praha-stresovice-za-pohorelcem/1372947020,5 850 000 CZK per property,,29.09.2024,Brick,In very good condition,Personal,Quiet part of municipality,ground floor of total 7,57 m2,57 m2,,,Local water source,Local electric,,,,,,,Partially,,,,,,,,,6000,,,,2024,Sewerage,,,,,,,,,1372947020,,,,,,,,,,,,,,,,,,,,,,,
"Špirkova, Praha 4 - Kamýk",For sale apartment 3+1 85 m²,10700000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-kamyk-spirkova/1882395980,10 700 000 CZK per property,N07289,29.09.2024,Panel,Renovated,Personal,,8. floor of total 8,85 m2,85 m2,,Immediately,,Central district heating,Gas pipeline,"230 V, 400 V","Road, Urban public transportation",Class C,,,,,,,1 m2,,,,,,,,5 m2,2023,Sewerage,"Phone, Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Běhounkova, Praha 5 - Stodůlky",For sale apartment 4+kt 119 m²,11990000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-stodulky-behounkova/3821240908,11 990 000 CZK per property,N106993,Yesterday,Panel,Renovated,Personal,,9. floor of total 9 including 1 underground,119 m2,112 m2,,,Water supply,Central district heating,,230 V,"Road, Urban public transportation",Class C Coll. 78/2013 complying with,Open Energy Performance Certificate,,,,,,,,,,,,,,7 m2,,Sewerage,,,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Čakovická, Praha 9 - Prosek",For sale apartment 1+kt 33 m²,5250000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-prosek-cakovicka/630216012,5 250 000 CZK per property,N07440,29.09.2024,Brick,New homes,Personal,,2. floor of total 6,33 m2,27 m2,6 m2,,Water supply,Central gas,Gas pipeline,230 V,"Urban public transportation, Bus",Class B,,,,,,,,,,,,,,,,,Sewerage,"Phone, Internet, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kardausova, Praha - Dolní Měcholupy",For sale apartment 3+kt 97 m²,2790000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-dolni-mecholupy-kardausova/353665612,,N07529,Yesterday,Brick,New homes,Cooperative,,3. floor of total 6,97 m2,97 m2,8 m2,01.11.2024,,Central district heating,,400 V,"Road, Urban public transportation",Class B Coll. 264/2020 complying with,,,,,,,,2,,,,,,,,,Sewerage,"Internet, Cable TV",,,2024,,,,,,2 450 000 CZK per property,2 790 000 CZK,,,,,,,,,,,,,,,,,,,,,
"Sinkulova, Praha 4 - Podolí",For sale apartment 1+kt 22 m²,1890000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-podoli-sinkulova/2469065292,1 890 000 CZK per property,N07531,Yesterday,Brick,Renovated,Cooperative,Municipality centre,3. floor of total 5,22 m2,22 m2,,,,Central gas,,230 V,"Road, Urban public transportation",,,,,,,,,,,,,,,,,2022,Sewerage,"Phone, Internet",2600000 Kč,No,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bělohorská, Praha - Praha 6",For sale apartment 3+1 72 m²,10390000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-praha-6-belohorska/3570901580,10 390 000 CZK per property,239126-M,Yesterday,Brick,In very good condition,Personal,,4. floor,72 m2,,3 m2,,,,,,,Class G,,,,,,,3 m2,,,,,,1,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lýskova, Praha 5 - Stodůlky",For sale apartment 4+kt 92 m²,11100000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-stodulky-lyskova/1556775500,11 100 000 CZK per property,LK148102,Today,Panel,In very good condition,Cooperative,Quiet part of municipality,3. floor of total 4,92 m2,92 m2,,,Water supply,,,"230 V, 400 V",,Class D,,,,,,,4 m2,,,,,,,,7 m2,,Sewerage,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klímova, Praha - Praha 5",For sale apartment 3+kt 117 m²,20950000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-praha-5-klimova/2024911436,20 950 000 CZK per property,0906,30.09.2024,Framed structure,In very good condition,Personal,Quiet part of municipality,2. floor,117 m2,,,,,Local gas,,230 V,Urban public transportation,Class G,,,,,,23 m2,2 m2,,,,,,,,,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pasecká, Praha 9 - Hostavice",For sale apartment 1+kt 31 m²,4799000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-hostavice-pasecka/417919564,4 799 000 CZK per property,VT208ZK,Yesterday,Mixed,New homes,Personal,Quiet part of municipality,2. floor of total 5 including 2 underground,31 m2,31 m2,4 m2,,Water supply,Central gas,Gas pipeline,,"Train, Highway, Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,,,,,,,,,,,,,,,Sewerage,"Internet, Satellite, Cable TV, Cable distribution",,Yes,2025,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Česákova, Praha 8 - Střížkov",For sale apartment 3+kt 88 m²,10650000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-strizkov-cesakova/1671733836,10 650 000 CZK per property,N106680,Yesterday,Brick,New homes,Personal,,1. floor of total 1,88 m2,88 m2,,,Water supply,Central district heating,,230 V,"Highway, Road, Urban public transportation",Class D Coll. 78/2013 complying with,Open Energy Performance Certificate,,Partially,,,,,1,,,30 m2,,,,,,Sewerage,,,,2013,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volutová, Praha 5 - Stodůlky",For sale apartment 2+kt 45 m²,5790000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-stodulky-volutova/229356108,5 790 000 CZK per property,11399,Yesterday,Panel,Renovated,Personal,Municipality centre,8. floor of total 9,45 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borovanského, Praha 5 - Stodůlky",For sale apartment 3+kt 71 m²,7490000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-stodulky-borovanskeho/1915200076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jateční, Praha 7 - Holešovice",For sale apartment 1+kt 28 m²,6687450,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-holesovice-jatecni/252097100,6 687 450 CZK per property,JATE 5.3,01.10.2024,Mixed,New development projects,Personal,,5. floor,28 m2,29 m2,,,Water supply,,Gas pipeline,,"Train,",Class B Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Řeporyjská, Praha 5 - Jinonice",For sale apartment 2+kt 70 m²,9290700,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-jinonice-reporyjska/1177989708,9 290 700 CZK per property,JIZA A2.6,01.10.2024,Brick,New homes,Personal,,2. floor,70 m2,70 m2,,,Water supply,,Gas pipeline,,"Train, Road, Urban public transportation",Class C Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jateční, Praha 7 - Holešovice",For sale apartment 3+kt 67 m²,12693450,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-holesovice-jatecni/339128908,12 693 450 CZK per property,JATE 3.2,01.10.2024,Mixed,New development projects,Personal,,3. floor,67 m2,70 m2,,,Water supply,,Gas pipeline,,"Train,",Class B Coll. 78/2013 complying with,,,,,,,,,,,,,,,2 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Řeporyjská, Praha 5 - Jinonice",For sale apartment 2+kt 61 m²,7990000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-jinonice-reporyjska/1983296076,7 990 000 CZK per property,JIZA A2.5,01.10.2024,Brick,New homes,Personal,,2. floor,61 m2,61 m2,,,Water supply,,Gas pipeline,,"Train, Road, Bus",Class C Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,1666 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Řeporyjská, Praha 5 - Jinonice",For sale apartment 3+kt 108 m²,14482769,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-jinonice-reporyjska/512209484,14 482 769 CZK per property,JIZA D2.3,01.10.2024,Brick,New homes,Personal,,2. floor,108 m2,108 m2,,Immediately,Water supply,,Gas pipeline,,"Train, Road, Bus",Class C Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,1666 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Řeporyjská, Praha 5 - Jinonice",For sale apartment 4+kt 170 m²,24170700,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-jinonice-reporyjska/1966518860,24 170 700 CZK per property,JIZA C1.1,01.10.2024,Brick,New homes,Personal,,1. floor,170 m2,170 m2,,,Water supply,,Gas pipeline,,"Train, Road, Bus",Class C Coll. 78/2013 complying with,,,,,,,,,,,84 m2,,,,,,,,,,,,1666 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mostecká, Praha 1 - Malá Strana",For sale apartment 3+kt 109 m²,23780000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-mala-strana-mostecka/2651238988,23 780 000 CZK per property,MOST 3+kk,01.10.2024,Mixed,In very good condition,Personal,,3. floor,109 m2,109 m2,,,Water supply,,Gas pipeline,,,Class G Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jateční, Praha 7 - Holešovice",For sale apartment 1+kt 28 m²,6918450,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-holesovice-jatecni/1791472204,6 918 450 CZK per property,JATE 6.3,01.10.2024,Mixed,New development projects,Personal,,6. floor,28 m2,29 m2,,,Water supply,,Gas pipeline,,,Class B Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pernerova, Praha 8 - Karlín",For sale apartment 3+1 123 m² (Mezonet),18500000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-karlin-pernerova/4066219852,18 500 000 CZK per property,1,Yesterday,Brick,New development projects,Personal,,7. floor,123 m2,123 m2,,,,,,,,Class G Coll. 78/2013 complying with,,,,,Mezonet,10 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Řeporyjská, Praha 5 - Jinonice",For sale apartment 3+kt 108 m²,19520700,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-jinonice-reporyjska/688370252,19 520 700 CZK per property,JIZA A1.4,Yesterday,Brick,New homes,Personal,,1. floor,108 m2,109 m2,,,Water supply,,Gas pipeline,,"Train, Road, Urban public transportation",Class C Coll. 78/2013 complying with,,,,,,,,,,,214 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tachovské náměstí, Praha 3 - Žižkov",For sale apartment 2+kt 55 m²,8890000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-zizkov-tachovske-namesti/568033868,9 779 000 CZK per property,28_22,Yesterday,Brick,In renovation,Personal,Quiet part of municipality,5. floor of total 7 including 1 underground,55 m2,,,31.03.2025,Water supply,Local gas,Gas pipeline,230 V,"Road, Urban public transportation",Class D Coll. 264/2020 complying with,,,,,,,2 m2,,145.0 kWh/m^2 /year,,,,,,,2024,Sewerage,Internet,,,2025,Paved,,31.01.2025,,,,,08.04.2024,,,,,,,,,,,,,,,,,,,,
"Kardausova, Praha 10 - Dolní Měcholupy",For sale apartment 1+kt 49 m²,7360000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-dolni-mecholupy-kardausova/1336836684,7 360 000 CZK per property,37001,Yesterday,Framed structure,New homes,Cooperative,,6. floor,49 m2,43 m2,7 m2,,,Central district heating,,,,Class B Coll. 78/2013 complying with,,,Partially,,,,,1,70.0 kWh/m^2 /year,,,,1,,,,,,5150000 Kč,Yes,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U Komína, Praha 5 - Radlice",For sale apartment 3+kt 75 m²,12828000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-radlice-u-komina/4023129420,12 828 000 CZK per property,B5.2,Yesterday,Brick,New homes,Personal,Quiet part of municipality,5. floor of total 7 including 2 underground,75 m2,,,,,,,,,Class A Coll. 264/2020 complying with,,,,,,,,,35.4 kWh/m^2 /year,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praha 10 - Praha-Dubeč,For sale apartment 2+kt 43 m²,5999000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-praha-dubec-/450135372,5 999 000 CZK per property,01378,Yesterday,Brick,Under construction,Personal,,2. floor,43 m2,,3 m2,,,,,,,Class B Coll. 264/2020 complying with,,,,,,,,,84.0 kWh/m^2 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jateční, Praha 7 - Holešovice",For sale apartment 4+kt 102 m²,27604500,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-holesovice-jatecni/330805836,27 604 500 CZK per property,JATE 3.4,01.10.2024,Mixed,New development projects,Personal,,3. floor,102 m2,107 m2,,,Water supply,,Gas pipeline,,"Train, Urban public transportation, Bus",Class B Coll. 78/2013 complying with,,,,,,,,,,,121 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
